         82855265 function calls (80522673 primitive calls) in 312.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11129    0.259    0.000    0.826    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1044(wait)
     5102    0.023    0.000    0.821    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\pth.py:557(move_selected)
       26    0.041    0.002    0.801    0.031 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\chitin.py:76(read_bif)
     8259    0.386    0.000    0.796    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:487(_split_resource_filename)
    97360    0.266    0.000    0.723    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:725(read_string)
     5102    0.027    0.000    0.722    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\pth.py:533(pan_camera)
   332075    0.456    0.000    0.720    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:117(__init__)
  1038577    0.470    0.000    0.713    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:389(material_color)
       12    0.001    0.000    0.709    0.059 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1376(locations)
        2    0.069    0.034    0.707    0.354 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1409(_open_module_tab_erf_editor)
     3408    0.401    0.000    0.680    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1436(check_list)
   160037    0.204    0.000    0.662    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:498(__init__)
       21    0.643    0.031    0.645    0.031 {built-in method show}
  1078796    0.640    0.000    0.640    0.000 {built-in method setBrush}
     8022    0.640    0.000    0.640    0.000 {built-in method adjustSize}
        4    0.008    0.002    0.606    0.152 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\treeview.py:26(__init__)
      730    0.014    0.000    0.597    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:101(__exit__)
  1936963    0.595    0.000    0.595    0.000 {built-in method sys.intern}
   121150    0.376    0.000    0.590    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:99(join)
    73568    0.037    0.000    0.574    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:148(__truediv__)
       12    0.001    0.000    0.572    0.048 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1184(resources)
    78227    0.099    0.000    0.568    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:130(with_segments)
3695506/3683359    0.559    0.000    0.564    0.000 {built-in method builtins.len}
   690542    0.562    0.000    0.562    0.000 {method 'split' of 'str' objects}
     5102    0.020    0.000    0.559    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\pth.py:541(rotate_camera)
  5129600    0.549    0.000    0.549    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\enum.py:1332(name)
      941    0.012    0.000    0.534    0.001 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\git.py:1384(on_mouse_moved)
        1    0.000    0.000    0.496    0.496 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\pth.py:250(load)
     8022    0.107    0.000    0.464    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:781(relpath)
    41268    0.178    0.000    0.461    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\copy.py:62(copy)
    27610    0.027    0.000    0.454    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:55(position)
        1    0.002    0.002    0.439    0.439 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:188(_load_chitin)
        1    0.000    0.000    0.428    0.428 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:970(on_override_changed)
        2    0.000    0.000    0.419    0.209 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:370(load_resources_dict)
        1    0.000    0.000    0.418    0.418 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\git.py:468(load)
